compound_id	category	collection	local_i	main_i	main_d	propensity	availability	purity	logP	logD	logSw	pka_ma	color	stereo	state	cas	chembl_similars	n_similars
982_1826	selected	IC	0.516	0.2104	0.3099	0.2487	27	90%	2.1361	2.1361	-2.4213	18.9022	YELLOW	RELATIVE	Solid	NA	0	0
163_1550	selected	IC	0.4753	0.2825	0.2403	0.4514	34	90%	-0.1799	-0.1799	-1.8222	12.9017	YELLOW	RACEMIC MIXTURE	Solid	NA	0	0
112_1374	selected	NC	0.3607	0.2287	0.4957	0.2961	60	90%	5.2262	5.2205	-5.7663	23.3762	ORANGE	ACHIRAL	Solid	NA	0	0
38_1789	selected	NC	0.2512	0.2565	0.3029	0.3466	2	90%	4.6153	4.5973	-4.4283	26.1078	BROWN	RACEMIC MIXTURE	Solid	NA	0	0
540_1213	selected	NC	0.4367	0.8119	0.3665	0.2027	8	90%	4.401	4.3804	-4.2738	23.0734	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL4980320	1
818_1894	selected	NC	0.5283	0.8002	0.3086	0.2118	108	90%	3.8185	3.818	-4.4788	10.2785	BROWN	ACHIRAL	Solid	NA	0	0
560_1720	selected	NC	0.346	0.7844	0.319	0.2216	1	90%	3.7499	3.7411	-3.8313	22.8673	BROWN	ACHIRAL	Oil	NA	0	0
242_1322	selected	NC	0.6721	0.2575	0.2591	0.3448	21	90%	3.5467	3.5454	-3.6392	7.3573	YELLOW	ACHIRAL	Solid	NA	0	0
846_1907	selected	NC	0.3484	0.2111	0.6155	0.3736	29	90%	3.4699	3.4611	-3.7871	24.6947	BROWN	ACHIRAL	Solid	NA	0	0
571_1964	selected	NC	0.4213	0.2153	0.6225	0.378	79	90%	3.3892	3.3804	-3.6199	24.6947	BROWN	ACHIRAL	Solid	NA	CHEMBL4913821	1
282_1585	selected	NC	0.4752	0.8462	0.2423	0.3279	138	90%	3.1287	3.1198	-3.0104	21.6736	NOT COLORED	ACHIRAL	Solid	NA	0	0
156_1921	selected	NC	0.4433	0.2128	0.4265	0.2881	27	90%	3.105	3.105	-3.024	17.46	ORANGE	RACEMIC MIXTURE	Oil	NA	CHEMBL4983099	1
584_1689	selected	NC	0.3377	0.8154	0.2084	0.2888	136	90%	3.0573	3.0484	-3.0523	22.6563	ORANGE	RACEMIC MIXTURE	Oil	NA	0	0
716_1702	selected	NC	0.3546	0.2331	0.6144	0.3087	1	90%	2.96	2.96	-3.2806	22.2839	YELLOW	ACHIRAL	Solid	NA	CHEMBL3637800, CHEMBL1386715	2
234_1505	selected	NC	0.405	0.2302	0.5065	0.2899	91	90%	2.8156	2.81	-2.8441	23.3762	BROWN	ACHIRAL	Solid	NA	0	0
966_1057	selected	NC	0.3374	0.2474	0.6327	0.4842	4	90%	2.6231	2.6143	-2.8439	24.6947	BROWN	ACHIRAL	Liquid	NA	CHEMBL4913821, CHEMBL4912634	2
31_1891	selected	NC	0.6021	0.226	0.4083	0.305	3	90%	2.4693	2.4693	-2.4097	17.4585	ORANGE	RACEMIC MIXTURE	Solid	NA	CHEMBL4983099	1
812_1693	selected	NC	0.6875	0.2446	0.2484	0.3178	14	90%	2.4027	2.3985	-2.6182	13.27	YELLOW	ACHIRAL	Solid	NA	0	0
609_1538	selected	NC	0.507	0.2123	0.6355	0.2687	29	90%	2.2179	2.2179	-2.7406	23.4469	NOT COLORED	ACHIRAL	Solid	NA	0	0
404_1250	selected	NC	0.5215	0.2361	0.4286	0.2795	157	90%	1.748	1.7355	-2.7869	10.8394	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL1881125, CHEMBL1878269, CHEMBL1337287	3
600_1743	selected	NC	0.4806	0.2423	0.4336	0.2882	35	90%	1.6789	1.6747	-2.7792	10.8394	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL1878269, CHEMBL1881125	2
552_1689	selected	DC	0.3897	0.2235	0.4713	0.2325	5	90%	6.767	6.7592	-6.5271	9.1406	BROWN	ACHIRAL	Solid	NA	0	0
677_1204	selected	DC	0.4517	0.3582	0.3355	0.2605	7	90%	6.5686	6.5685	-6.2174	11.409	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL1388783	1
676_1593	selected	DC	0.488	0.262	0.357	0.3785	145	90%	6.5239	6.5238	-6.2227	26.1078	YELLOW	RACEMIC MIXTURE	Solid	NA	0	0
760_1662	selected	DC	0.4887	0.2483	0.4242	0.3027	28	90%	6.1949	6.1941	-5.8129	23.6512	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL1497913	1
935_1200	selected	DC	0.5146	0.257	0.3638	0.36	80	90%	5.9542	5.9541	-6.0764	26.1078	NOT COLORED	RACEMIC MIXTURE	Solid	NA	0	0
697_1099	selected	DC	0.2848	0.2186	0.5474	0.2667	13	90%	5.9151	5.9151	-5.8035	27.7035	NOT COLORED	ACHIRAL	Solid	NA	0	0
188_1768	selected	DC	0.5449	0.2564	0.4196	0.3151	83	90%	5.8893	5.8887	-5.9668	23.1572	YELLOW	ACHIRAL	Solid	NA	CHEMBL1456092	1
643_1200	selected	DC	0.2063	0.2273	0.5097	0.3036	2	90%	5.8739	5.8739	-6.1807	13.1622	NOT COLORED	RACEMIC MIXTURE	Solid	NA	0	0
616_1405	selected	DC	0.452	0.4505	0.2935	0.2998	10	90%	5.8688	5.8688	-5.7494	11.409	YELLOW	ACHIRAL	Solid	NA	CHEMBL1388783	1
661_1121	selected	DC	0.8469	0.2209	0.4974	0.2493	29	90%	5.8111	5.6652	-6.0242	26.3218	NOT COLORED	ACHIRAL	Solid	NA	0	0
707_1402	selected	DC	0.491	0.2006	0.5549	0.2481	3	90%	5.6531	5.588	-5.9548	12.1462	NOT COLORED	ACHIRAL	Oil	NA	0	0
848_1470	selected	DC	0.5122	0.2252	0.3015	0.275	3	90%	5.6361	5.6305	-6.0109	9.7344	NOT COLORED	RACEMIC MIXTURE	Solid	NA	0	0
303_1390	selected	DC	0.4864	0.2156	0.2233	0.2817	57	90%	5.618	5.618	-6.0172	26.1078	YELLOW	RACEMIC MIXTURE	Solid	NA	CHEMBL1447292	1
160_1944	selected	DC	0.3837	0.2191	0.2182	0.2758	2	90%	5.6018	5.6011	-5.2655	10.5192	NOT COLORED	ACHIRAL	Solid	NA	0	0
60_1826	selected	DC	0.3532	0.2223	0.4232	0.2424	2	90%	5.5628	5.5625	-7.0614	23.8357	NOT COLORED	ACHIRAL	Solid	NA	0	0
360_1033	selected	DC	0.3478	0.295	0.4725	0.3929	3	90%	5.5589	5.5582	-5.8161	23.445	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL1456092	1
668_1213	selected	DC	0.5799	0.21	0.3875	0.2522	18	90%	5.5452	5.4801	-6.0348	21.0134	NOT COLORED	RACEMIC MIXTURE	Solid	NA	0	0
