ПОЛЕ	ОПИСАНИЕ
compound_id	Идентификатор ХС
category	selected - выбранные по результатм прогноза ХС, random - случайные ХС, control - одобренные к применению лекарства (действующие вещества).
collection	Указание на подраздел библиотеки ХС ХимРара
local_i	Результаты прогноза (Pa-Pi), полученные с использованием PASS и локальной обучающей выборки (данные только по взаимодействию с выбранной мишенью, Smoothened Protein) в сложных биосистемах.
main_i	Результаты прогноза (Pa-Pi), полученные с использованием PASS и общей обучающей выборки в сложных биосистемах.
main_d	Результаты прогноза (Pa-Pi), полученные с использованием PASS и общей обучающей выборки в простых биосистемах.
propensity	Оценка (Pa-Pi) склонности быть протестированным для ХС.
availability	Доступность ХС
purity	Чистота
logP	logP
logD	logD
logSw	logSw
pka_ma	pKa
color	Цвет вещества
stereo	Стереохимия
state	Агрегатное состояние
cas	Номер CAS
chembl_similars	Идентификаторы сходных ХС в БД ChEMBL (v36)
n_similars	Количество сходных ХС в БД ChEMBL (v36)
	
Если в поле NA - значения нет	
