umap	assay_id	description	exposure_hrs	variant	comment	comment_type
-23.94894945	1528530	Radioligand Competition Binding Assay: For the binding competition assay, 100 μL of Assay Buffer was added to all the wells of a 96 well GF/B filter plate (Millipore MultiScreen-HTS-FB cat# MSFBN6B50) for 10 minutes to pre-wet the filter prior to evacuation of the buffer (8 inches Hg for 8 seconds). To the pre-wet wells is added: 20 μL of Assay Buffer, 10 μL diluted test agent, 20 μL of a tritiated Smo antagonist (15 nM stock solution), and 50 μL of membrane preparation (40 μg total protein per well). The plates are sealed and mixed at room temperature for 5 min, incubated at room temperature for 2 hours, then washed 5 times with 100 μL/each of wash buffer and vacuum dried for 8 seconds at 8 inches Hg. The plate is then dried for one hour in a 60° C. oven prior to the addition of 45 μL of Microscint 20 (Packard, #6013621) to each well and incubation at RT for 30 minutes to 1 hour. The plate is counted in a TopCount scintillation counter (Perkin Elmer).			competitive binding	test
-21.71114537	1704184	Phototoxicity against human HepG2 cells pretreated for 24 hrs followed by 1.81 J irradiation for 7 mins measured after 1 hr by Alamar blue assay	1		phototoxicity	mechanism
-21.6700459	1704188	Phototoxicity against human HepG2 cells pretreated for 24 hrs followed by 3.61 J irradiation for 14 mins measured after 1 hr by Alamar blue assay	1		phototoxicity	mechanism
-21.64450544	1704185	Phototoxicity against human HepG2 cells pretreated for 24 hrs followed by 1.81 J irradiation for 7 mins measured after 24 hrs by Alamar blue assay	24		phototoxicity	mechanism
-21.63856356	1704189	Phototoxicity against human HepG2 cells pretreated for 24 hrs followed by 3.61 J irradiation for 14 mins measured after 24 hrs by Alamar blue assay	24		phototoxicity	mechanism
-20.87805687	1704183	Dark toxicity against human HepG2 cells pretreated for 24 hrs followed by 14 mins dark incubation measured after 24 hrs by Alamar blue assay	24		dark toxicity	mechanism
-20.84839134	1704182	Dark toxicity against human HepG2 cells pretreated for 24 hrs followed by 14 mins dark incubation measured after 1 hr by Alamar blue assay	1		dark toxicity	mechanism
-19.84012138	766581	Displacement of BODIPY-cyclopamine from Smo expressed in COS-1 cells after 4 to 6 hrs by Flow Cytometry analysis in presence of 20% normal human serum	6		displacement	test
-19.55948375	766743	Displacement of Bodipy-labelled cyclopamine from Smo expressed in COS-1 cells in presence of 2% FBS after 4 to 6 hrs by FACS flow cytometric analysis	6		displacement	test
-19.3838778	766580	Displacement of BODIPY-cyclopamine from Smo expressed in COS-1 cells after 4 to 6 hrs by Flow Cytometry analysis in presence of 2% fetal calf serum	6		displacement	test
-19.20053898	766764	Inhibition of of Bodipy-labelled cyclopamine binding to Smo expressed in COS-1 cells in presence of 20% NHS after 4 to 6 hrs by FACS flow cytometric analysis	6		competitive binding	test
-18.69467958	1892332	Displacement of BODIPY-Cyclopamine from human HA-tagged Smo receptor expressed in human U2OS cells at 1 to 10000 nM incubated for 2 hrs by DAPI staining based fluorescence microscopic method	2		displacement	test
-18.64297507	818647	Displacement of BODIPY-labelled cyclopamine from human Smo receptor expressed in HEK293 cells after 2 hrs by fluorescence microscopy	2		displacement	test
-18.41436971	1585431	Displacement of BODIPY-cyclopamine from human Smo expressed in HEK293 cells incubated for 3 hrs by fluorescence competitive displacement assay	3		displacement	test
-18.19186745	1542507	Displacement of boron-dipyrromethene-cyclopamine from human smoothened receptor expressed in HEK293 cells incubated for 4 hrs by hSMO-BC binding assay	4		displacement	test
-17.88798127	1479012	GSK_TCAKS: pIC50 HepG2 human cell line viability assay using luminiscence. Actively growing HepG2 cells were removed from a T-175 TC flask using 5mL Eagle's MEM (containing 10% FBS, 1% NEAA, 1% penicillin/streptomycin) and dispersed in the medium by repeated pipetting. Seeding density was checked to ensure that new mono-layers were not more than 50% confluent at the time of harvesting. Cell suspension was added to 500 mL of the same medium at a final density of 1.2 * 10^5 cells/mL. This cell suspension was dispensed (25 uL, 3000 cells per well) into 384-well clear-bottom plates using a Multidrop Combi dispenser. Prior to addition of the cell suspension, the screening compounds (250 nL) were pre-dispensed into the plates with an Echo liquid handler. Plates were incubated for 48 h at 37C, 5% CO2. After incubation, plates equilibrated at room temperature for 30 min before proceeding to develop the luminescent signal. The signal developer, CellTiter-Glo Reagent, was allowed to equilibrate at room temperature for 30 min and added to the plates (25uL per well) using a Multidrop Combi dispenser. Plates were left for 10 min at room temperature for stabilization and then read using a ViewLux.				
-17.39506173	619913	Inhibition of fatty acid synthesis in human HepG2 cells after 48 hrs	48		inhibition of fatty acid synthesis	mechanism
-17.33570275	2138050	Liver HepG2 cell line MDS Pharma Services Proliferation Assay				
-17.13580644	522938	Displacement of [3H]3-chloro-4,7-difluoro-N-(4-methoxy-3-(pyridin-4-yl)benzyl)-N-(4-(methylamino)cyclohexyl)benzo[b]thiophene-2-carboxamide from human Smoothened receptor expressed in CHO-K1 cells by membrane filter binding assay			displacement	test
-16.8315118	1639957	Displacement of radio-labeled smoothened agonist from human Smo by radio-ligand competition binding assay			displacement	test
-16.06500331	1503679	Induction of apoptosis in human HepG2 cells assessed as cell viability after 96 hrs by MTT assay	96		apoptosis induction	mechanism
-15.82259381	762248	Displacement of BODIPY-cyclopamine from human Smo expressed in HEK293 cells in presence of 2% fetal calf serum			displacement	test
-15.7452365	762249	Displacement of BODIPY-cyclopamine from human Smo expressed in HEK293 cells in presence of 20% normal human serum			displacement	test
-15.32977494	582068	Inhibition of BODIPY-cyclopamine to Smo in human HEK293 Flag-Smo cells in presence of 2% FCS				
-15.05771446	83408	In vitro ability to inhibit cholesterol biosynthesis in HepG2 cells in culture from [14C]mevalonate			inhibition of cholesterol biosynthesis	mechanism
-15.00730749	83407	In vitro ability to inhibit cholesterol biosynthesis in HepG2 cells in culture from [14C]acetate.			inhibition of cholesterol biosynthesis	mechanism
-14.90890379	83899	Tested for ability to inhibit the incorporation of [14C]- acetate in to cholesterol in HepG2 cells			inhibition of cholesterol biosynthesis	mechanism
-14.88909348	218639	The compound was tested for inhibition of cholesterol biosynthesis in human hepatoma G2 cell line			inhibition of cholesterol biosynthesis	mechanism
-14.7826175	78572	"Tested for ability to inhibit incorporation of [14C]acetate into cholesterol in cultured human hepatoma (HEP-G2) cells; 0.0071-23"			inhibition of cholesterol biosynthesis	mechanism
-14.7826175	78573	"Tested for ability to inhibit incorporation of [14C]acetate into cholesterol in cultured human hepatoma (HEP-G2) cells; 0.013-0.81"			inhibition of cholesterol biosynthesis	mechanism
-14.7826175	78577	"Tested for ability to inhibit incorporation of [14C]acetate into cholesterol in cultured human hepatoma (HEP-G2) cells; 0.053-0.12"			inhibition of cholesterol biosynthesis	mechanism
-14.7826175	78578	"Tested for ability to inhibit incorporation of [14C]acetate into cholesterol in cultured human hepatoma (HEP-G2) cells; 0.061-0.10"			inhibition of cholesterol biosynthesis	mechanism
-14.7826175	78722	"Tested for ability to inhibit incorporation of [14C]acetate into cholesterol in cultured human hepatoma (HEP-G2) cells; 0.70-1.4"			inhibition of cholesterol biosynthesis	mechanism
-14.7826175	78723	"Tested for ability to inhibit incorporation of [14C]acetate into cholesterol in cultured human hepatoma (HEP-G2) cells; 0.73-91"			inhibition of cholesterol biosynthesis	mechanism
-14.7826175	78724	"Tested for ability to inhibit incorporation of [14C]acetate into cholesterol in cultured human hepatoma (HEP-G2) cells; 1.3-2.3"			inhibition of cholesterol biosynthesis	mechanism
-14.74034612	83753	Compound was tested for inhibition of cholesterol biosynthesis in HepG2 cells from [14C]- acetate			inhibition of cholesterol biosynthesis	mechanism
-14.65956444	322434	In vitro inhibitory concentration against human hepatocellular carcinoma HepG-2 cells in the presence of vinblastine sulfate salt			in the presence of vinblastine	combination
-14.64602284	2121129	Anticancer activity against human HepG2 cells assessed as inhibition of cell proliferation measured after 72 hrs by CCK8 reagent assay	72			
-14.29674732	652931	Inhibition of BODIPY-cyclopamine binding to Smo expressed in HEK293T cells after 1 hr by fluorescence microscopy				
-14.11623577	1295089	Inhibition of smoothened (unknown origin)-mediated Shh signaling				
-14.03359594	759896	Antagonist activity at smoothened expressed in mouse Shh Light2 cells co-expressing Gli-dependent reporter gene assessed as inhibition of Hh pathway				
-14.01220337	762247	Antagonist activity at smoothened expressed in mouse Shh Light2 cells assessed as inhibition of purmorphamine- induced Gli-dependent luciferase gene expression				
-13.97247149	633891	Inhibition of human SMO expressed in HEPM cells				
-13.96103033	644050	Inhibition of Smoothened transfected in HEK293 cells by binding assay				
-13.93224855	644049	Inhibition of Smoothened transfected in HEK293 cells by transient transfection cell-based assay				
-13.76832588	1361383	Antagonist activity at smoothened (unknown origin)				
-13.70435932	342368	Inhibition of TGF beta-induced transcription of firefly luciferase reporter gene in HepG2 cells				
-13.43740512	1567261	Inhibition of ApoB secretion in human HepG2 cells after 16 hrs by ELISA	16		Inhibition of ApoB secretion	mechanism
-13.41777295	829474	Inhibition of Smo expressed in mouse NIH/3T3 cells after 20 hrs by Gli reporter gene assay	20			
-13.3570073	1769821	Inhibition of PCSK9 production in human HepG2 cells after 24 hrs by ELISA	24		Inhibition of PCSK9 production	mechanism
-13.35003843	565537	Inhibition of apoB secretion in human HepG2 cells after 40 hrs by ELISA	40		Inhibition of ApoB secretion	mechanism
-13.17937874	1705941	Inhibition of human recombinant BMP6-stimulated hepcidin mRNA expression in human HepG2 cells after 6 hrs by qRT-PCR analysis	6		Inhibition of human recombinant BMP6-stimulated hepcidin mRNA expression	mechanism
-13.17937874	1710193	Inhibition of human recombinant BMP6-stimulated hepcidin mRNA expression in human HepG2 cells after 6 hrs by qRT-PCR analysis	6		Inhibition of human recombinant BMP6-stimulated hepcidin mRNA expression	mechanism
-13.16501187	818642	Inhibition of Smo-mediated Hh signaling in human Shh-light2 cells by luciferase reporter gene assay				
-13.16501187	1977776	Inhibition of SMO-mediated hedgehog signalling pathway in human HPEM cells by luciferase reporter gene assay				
-13.12786757	83577	Concentration required to inhibit cholesterol synthesis in Hep G2 cells			inhibition of cholesterol biosynthesis	mechanism
-13.11563051	1882466	Inhibition of PCSK9 mRNA expression in human HepG2 cells after 24 hrs by SYBR Green I dye-based qRT-PCR analysis	24		Inhibition of PCSK9 mRNA expression	mechanism
-13.07851178	1882467	Inhibition of PCSK9 mRNA expression in human HepG2 cells by SYBR Green I dye-based qRT-PCR analysis			Inhibition of PCSK9 mRNA expression	mechanism
-12.97938308	468315	Inhibition of IL6-stimulated IL6 gene promoter expression in human HepG2 cells by SEAP reporter gene assay			Inhibition of IL6-stimulated IL6 gene promoter expression	mechanism
-12.857527	464951	Inhibition of human HepG2 cells				
-12.72613706	83582	Tested for inhibition of cholesterol biosynthesis in HEP G2 cells			inhibition of cholesterol biosynthesis	mechanism
-12.70976349	83568	Inhibition of HepG2 cancer cell proliferation				
-12.68943522	83576	Compound was evaluated for the inhibition of cell proliferation of human hepatocellular carcinoma, HepG2 (ATCC HB8065).				
-12.63404983	102	Concentration required to inhibit 50% of 2.2.15 cell line				
-12.50794308	431819	Growth inhibition of human HepG2 cells				
-12.50794308	455761	Growth inhibition of human HepG2 cells				
-12.50794308	1901224	Growth inhibition of human HepG2 cells				
-12.37314486	437089	Growth inhibition of HepG2 cells				
-12.257835	83751	Compound is evaluated for the inhibition of cholesterol synthesis in HepG2 cells for an incubation time of 6 (h)			inhibition of cholesterol biosynthesis	mechanism
-12.24339461	429118	Growth inhibition in HepG2 cells after 5 days		120		
-12.23623077	931063	Cytotoxicity against Homo sapiens (human) HepG2 cells assessed as inhibition of cell survival after 96 hr		96		
-12.23550025	83749	Compound is evaluated for the inhibition of cholesterol synthesis in HepG2 cells for an incubation time of 2 (h)			inhibition of cholesterol biosynthesis	mechanism
-12.1821884	429119	Growth inhibition in HepG2 cells after 7 days		148		
-12.16467011	83750	Compound is evaluated for the inhibition of cholesterol synthesis in HepG2 cells for an incubation time of 4 (h)			inhibition of cholesterol biosynthesis	mechanism
-11.97715784	85926	Concentration required for 50% inhibition of growth in human liver hepatoblastoma (Hep G2) cell line was determined				
-11.91076981	85922	In vitro growth inhibition of Hep G2 (epidermoid cell line) human tumor cells.				
-11.870069	218495	in vitro inhibition of tumor cell growth in cultured HepG2 human tumor cell line				
-11.78218593	83875	In vitro cholesterol biosynthesis inhibition in human HepG2 by measuring the extend of cholesterol radiolabeling after incubation with [14C]mevalonate.			inhibition of cholesterol biosynthesis	mechanism
-11.68818414	312153	Concentration required to inhibit growth of human hepatocellular carcinoma (HepG2) cell line				
-11.44421266	772008	Cytotoxicity against human SiHa cells assessed as reduction in cell density compound treated for 4 hrs under oxic condition measured after 5 days by sulforhodamine B assay	120		under oxic condition	conditions
-11.44082457	1691827	Mitochondrial toxicity in human HepG2 cells grown in presence of galactose			in presence of galactose	specific goal
-11.41726109	1691826	Mitochondrial toxicity in human HepG2 cells grown in presence of glucose			in presence of glucose	specific goal
-11.399961	772009	Cytotoxicity against human SiHa cells assessed as reduction in cell density compound treated for 4 hrs under hypoxic condition measured after 5 days by sulforhodamine B assay	120		under hypoxic condition 	condition
-10.91113808	1771759	Cytotoxicity against human HepG2 cells assessed as decrease in cell viability after 96 hrs	96			
-10.77164721	1470102	Cytotoxicity against human HepG2 cells assessed as surviving fraction ratio incubated for 2 hrs prior to 8Gy gamma-irradiation measured after 48 hrs by ELISA reader relative to control	2		prior to 8Gy gamma-irradiation	combination, radiotherapy
-10.74544728	762312	Cytotoxicity against human C33A cells assessed as reduction of cell density incubated for 4 hrs in hypoxic (anoxic) condition measured 5 days post dose by SRB assay	120		in hypoxic (anoxic) condition 	condition
-10.72116827	762311	Cytotoxicity against human C33A cells assessed as reduction of cell density incubated for 4 hrs in oxic (aerobic) condition measured 5 days post dose by SRB assay	4		in oxic	condition
-10.69862781	85927	In vitro antiviral activity against HBV in Hep G2 cells			antiviral activity against HBV	specific goal
-10.5773158	1348083	Inhibition of Smo receptor (unknown origin) expressed in NIH3T3 cells assessed as inhibition of Smo agonist SAG-induced GRE activation after 30 hrs by luciferase reporter gene assay	30			
-10.40886125	88437	Inhibitory concentration against hepatitis B virus infected 2.2.15 cells			against hepatitis B virus	specific goal
-10.30712679	83879	Inhibitory concentration against cholesterol biosynthesis in HepG2 cells.			inhibition of cholesterol biosynthesis	mechanism
-10.23357388	311664	Inhibitory concentration against HepG2 cell line				
-10.03891607	2184937	Inhibition of endogenous human Smo overexpressed in mouse C3H 10T1/2 cells cotransfected with Gli reporter gene assessed as Gli luciferase activity by dual luciferase assay				
-9.859793394	83553	Antitumor activity against human hepatocellular carcinoma HepG-2 cells.				
-9.82403998	83877	In vitro inhibitory activity was evaluated on cholesterol biosynthesis in HepG2 cells			inhibition of cholesterol biosynthesis	mechanism
-9.767244204	83550	Antitumor activity against human hepatocellular carcinoma HepG2 cells				
-9.767244204	83552	Antitumor activity against human hepatocellular carcinoma HepG2 cells				
-9.232187473	78727	Cytotoxic activity against HepG2 liver cancer cell line				
-9.221421575	83579	Cytotoxicity was determined for the compound in HepG2 cell line				
-9.205681526	842647	HARVARD: Cytotoxicity in HepG2 cell line				
-9.155030901	198887	The compound was tested in vitro for cytotoxic activity against SIHA cell line (human cervix carcinoma)				
-9.132194784	311732	Inhibitory concentration for cytotoxic activity against SiHa cell line				
-9.114363265	83881	Tested in vitro for anticancer activity against HepG2 cells				
-9.096540988	311740	Cytotoxic activity against human tumor Hep G2 cell line				
-9.094206124	83578	Cytotoxic activity against human tumor HepG2 cell line				
-9.08406787	1527468	GSK_TB: The cytotoxicity against HepG2 cells expressed as IC50				
-9.044697153	311999	Cytotoxicity of compound against human liver tumor cell line (Hep-G2) was determined				
-8.762155381	1292071	Antioxidant activity in human HepG2 cells assessed as inhibition of ABAP-induced intracellular peroxyl radical scavenging activity by measuring ROS production measured every 5 mins for 1 hr by absorbance assay			Antioxidant activity	specific goal
-8.747919295	339141	Cytotoxicity against SiHa cancer cell line				
-8.745423311	83900	Cytotoxicity in HepG2-T14 cancer cell line				
-8.679322189	2195071	Antitumor activity against human HepG2 cells assessed as inhibit cell proliferation incubated for 72 hrs by CCK-8 assay	72			
-8.46305821	1911290	Mitochondrial toxicity in human HepG2 cells assessed as inhibition of nuclear ribosomal-DNA level followed by medium plus drugs replenishment every 3 to 4 days for 14 days relative to control	336			
-8.450804366	200631	In vitro cytotoxicity against human tumor SiHa cell line was measured as concentration to reduce [3H]thymidine uptake to 50% of that of the controls				
-8.441834227	1911289	Mitochondrial toxicity in human HepG2 cells assessed as inhibition of cytochrome c oxidase subunit 2 DNA level followed by medium plus drugs replenishment every 3 to 4 days for 14 days relative to control	336			
